"STARTUP_ID","ORDER_ID","COUNTRY","REGION","PROFILE_CREATED","PROFILE_CREATION_DATE","CLOUD_USAGE","CLOUD","USAGE_COMPLETION_DATE","CASE_STUDY","CASE_STUDY_LAST_UPDATE_DATE","REF_ARCH","REF_ARCH_FILE_COUNT","REF_ARCH_WORKLOAD","REF_ARCH_COMMENTS","REF_ARCH_LAST_UPDATE_DATE","INTEGRATION_STRATEGY","IS_SOLUTION_FLAG","IS_SOLUTION","IS_INTEGRATION_FLAG","IS_DATE","ELEVATOR_PITCH","ELEVATOR_PITCH_LAST_UPDATE_DATE","VECTOR_LOGO","LOGO_FILE_COUNT","VECTOR_LOGO_LAST_UPDATE_DATE","PK_USAGE","PROMOTION_KIT_FLAG","MAIL_SENT","MAIL_SENT_DATE","NS_INTERNAL_ID","LAST_UPDATE_DATE","MC_COMPLETE_STATUS"
32013,12811,"Israel","EMEA","Complete",14-JUN-22,16.021633308,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,901650,14-JUN-22,"N"
3973,6846,"India","JAPAC","Complete",25-FEB-21,745.666420194,"Complete",11-DEC-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,307933,13-DEC-21,"N"
26406,11167,"Brazil","LAD","Complete",02-DEC-21,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,651866,02-DEC-21,"N"
2283,5515,"Brazil","LAD","Complete",09-APR-20,33761.893642688803,"Complete",09-JUN-20,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,155759,09-APR-20,"N"
4465,7162,"India","JAPAC","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,347408,01-JAN-70,"N"
26338,11154,"India","JAPAC","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,648742,01-JAN-70,"N"
30168,12350,"Taiwan","JAPAC","Incomplete",,0,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,770686,01-JAN-70,"N"
2575,5792,"Saudi Arabia","EMEA","Incomplete",,0.885844145,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,189468,01-JAN-70,"N"
184,2563,"United States of America","NAS","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,4588,01-JAN-70,"N"
21081,8527,"United States of America","NAS","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,493963,01-JAN-70,"N"
2565,5783,"United States of America","NAS","Complete",10-JUL-20,657.846521633,"Complete",14-JUN-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,189476,16-JUN-21,"N"
5218,7629,"India","JAPAC","Incomplete",,13.339037772,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,397419,01-JAN-70,"N"
4496,7179,"Argentina","LAD","Complete",18-DEC-20,842.7167,"Complete",10-FEB-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,350060,18-DEC-20,"N"
1842,3921,"Switzerland","EMEA","Complete",27-FEB-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,109978,27-FEB-20,"N"
22785,9181,"Argentina","LAD","Incomplete",,0,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,568845,01-JAN-70,"N"
32553,12958,"India","JAPAC","Incomplete",,0.876680304,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,928205,01-JAN-70,"N"
947,3006,"France","EMEA","Complete",20-SEP-19,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,23439,20-SEP-19,"N"
1967,4041,"India","JAPAC","Complete",19-MAR-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,130746,19-MAR-20,"N"
26550,11183,"Brazil","LAD","Complete",06-DEC-21,154.357968837,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,653768,06-DEC-21,"N"
3566,6601,"Argentina","LAD","Complete",02-SEP-20,,"Incomplete",,"Complete",07-NOV-20,"Incomplete",,"","",,"Complete","Yes","There are not any active integration today but we are very interested to do it","Yes",07-NOV-20,"Incomplete",,"Incomplete",,,"Incomplete","No","",,270691,07-NOV-20,"N"
20048,8102,"Japan","JAPAC","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,437237,01-JAN-70,"N"
19616,7938,"United States of America","NAS","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,413938,01-JAN-70,"N"
1163,3222,"Saudi Arabia","EMEA","Incomplete",,97.018849943,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,38104,01-JAN-70,"N"
3995,6871,"India","JAPAC","Complete",19-OCT-20,485.251792206,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,310059,19-OCT-20,"N"
21795,8853,"United States of America","NAS","Incomplete",,5125.732308375,"Complete",01-JAN-22,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,533602,03-JAN-22,"N"
3282,6421,"India","JAPAC","Complete",24-AUG-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,255854,24-AUG-20,"N"
1593,3672,"Estonia","EMEA","Complete",21-DEC-19,90549.729405542092,"Complete",09-MAY-20,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,87190,21-DEC-19,"N"
622,2701,"Austria","EMEA","Complete",24-JUL-19,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,20033,24-JUL-19,"N"
1063,3122,"Netherlands","EMEA","Complete",10-JAN-20,2327.170853433,"Complete",06-NOV-20,"Incomplete",,"Complete",1,"All-In Production Environment","null",26-NOV-20,"Complete","Yes","MentorMatch runs on OCI, using VMs and soon Autonomous DB will replace MongoDB","Yes",26-NOV-20,"Complete",04-DEC-20,"Complete",1,26-NOV-20,"Complete","Yes","",,25724,04-DEC-20,"N"
32433,12931,"Uruguay","LAD","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,922987,01-JAN-70,"N"
29595,12240,"Japan","JAPAC","Complete",09-MAR-22,479.742562953,"Complete",24-MAY-22,"Complete",10-MAR-22,"Complete",1,"Production Environment (Customer Facing)","null",12-APR-22,"Complete","No","","Yes",10-MAR-22,"Complete",09-MAR-22,"Complete",1,10-MAR-22,"Complete","No","Y",27-MAY-22,744452,27-MAY-22,"Y"
1222,3281,"Germany","EMEA","Complete",05-DEC-19,16570.155795278,"Complete",04-FEB-20,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,49406,05-DEC-19,"N"
2732,5928,"United States of America","NAS","Complete",31-JUL-20,1596.529315664,"Complete",05-JUL-20,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,206191,31-JUL-20,"N"
22942,9241,"India","JAPAC","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,579700,01-JAN-70,"N"
26409,11170,"United Kingdom","EMEA","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,651861,01-JAN-70,"N"
1762,3841,"Ukraine","EMEA","Incomplete",,277.1006140339,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,99199,01-JAN-70,"N"
1301,3360,"Poland","EMEA","Complete",16-NOV-19,10087.2777201481,"Complete",22-MAR-20,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,57285,16-NOV-19,"N"
5233,7637,"United States of America","NAS","Incomplete",,1798.531360289,"Complete",11-JUL-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,398632,13-JUL-21,"N"
3502,6541,"New Zealand","JAPAC","Complete",27-AUG-20,0.03982141948,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,267082,27-AUG-20,"N"
22632,9110,"Brazil","LAD","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,557003,01-JAN-70,"N"
4135,6988,"United States of America","NAS","Complete",17-NOV-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,322031,17-NOV-20,"N"
2311,5548,"India","JAPAC","Incomplete",,494.85440067552,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,156899,01-JAN-70,"N"
19604,7931,"Saudi Arabia","EMEA","Complete",02-MAR-21,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,413932,02-MAR-21,"N"
2162,4241,"Lithuania","EMEA","Complete",23-MAR-20,13810.57761250596,"Complete",17-JUN-20,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Complete",1,24-MAR-20,"Complete","No","",,144776,24-MAR-20,"N"
31440,12649,"Israel","EMEA","Complete",18-MAY-22,,"Incomplete",,"Incomplete",,"Complete",1,"All-In Production Environment","null",30-MAY-22,"Complete","No","","Yes",29-MAY-22,"Incomplete",,"Complete",2,18-MAY-22,"Incomplete","No","",,862217,30-MAY-22,"N"
1062,3121,"Portugal","EMEA","Complete",05-JUN-20,0,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,25723,05-JUN-20,"N"
2362,5581,"Saudi Arabia","EMEA","Complete",20-APR-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,161655,20-APR-20,"N"
21009,8493,"Saudi Arabia","EMEA","Complete",08-JUN-21,5761.713134499,"Complete",23-JUL-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,404725,26-JUL-21,"N"
23092,9304,"United States of America","NAS","Complete",05-OCT-21,6456.9020648228,"Complete",23-OCT-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,588353,25-OCT-21,"N"
28012,11630,"Egypt","EMEA","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,698991,01-JAN-70,"N"
5092,7502,"Colombia","LAD","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,388653,01-JAN-70,"N"
23866,9792,"Brazil","LAD","Complete",16-NOV-21,945.134319289,"Complete",19-MAR-22,"Complete",06-MAY-22,"Complete",1,"Test Development Environment,Backup Existing Environment,Production Environment (Internal Facing)","null",06-MAY-22,"Complete","Yes","Yes, all our meteorological forecast models are integrated with Oracles now and running twice a day.","Yes",06-MAY-22,"Complete",06-MAY-22,"Complete",1,06-MAY-22,"Complete","No","Y",06-MAY-22,608718,06-MAY-22,"Y"
29825,12298,"Spain","EMEA","Complete",12-MAR-22,286.030419014276,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,755557,12-MAR-22,"N"
22415,9073,"India","JAPAC","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,550276,01-JAN-70,"N"
20405,8277,"Brazil","LAD","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,383923,01-JAN-70,"N"
